Date,Value,source,feature_code,description
2020-04-07,339654.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-07,5.285299777984619,yahoo,DOLAR,Dólar/Real
2020-04-07,3.75,bcb,SELIC,Taxa Selic
2020-04-07,331.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-07,854.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-08,339974.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-08,3.75,bcb,SELIC,Taxa Selic
2020-04-08,330.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-08,5.221700191497803,yahoo,DOLAR,Dólar/Real
2020-04-08,854.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-08,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-09,331.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-09,5.123499870300293,yahoo,DOLAR,Dólar/Real
2020-04-09,863.5,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-09,3.75,bcb,SELIC,Taxa Selic
2020-04-09,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-09,340533.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-10,5.105800151824951,yahoo,DOLAR,Dólar/Real
2020-04-10,3.75,bcb,SELIC,Taxa Selic
2020-04-11,3.75,bcb,SELIC,Taxa Selic
2020-04-12,3.75,bcb,SELIC,Taxa Selic
2020-04-13,5.105500221252441,yahoo,DOLAR,Dólar/Real
2020-04-13,3.75,bcb,SELIC,Taxa Selic
2020-04-13,340685.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-13,854.25,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-13,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-13,331.5,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-14,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-14,326.0,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-14,5.198500156402588,yahoo,DOLAR,Dólar/Real
2020-04-14,341228.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-14,847.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-14,3.75,bcb,SELIC,Taxa Selic
2020-04-15,3.75,bcb,SELIC,Taxa Selic
2020-04-15,319.25,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-15,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-15,842.0,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-15,341183.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-15,5.1620001792907715,yahoo,DOLAR,Dólar/Real
2020-04-16,319.75,yahoo,MILHO_US,Milho EUA (Futuros)
2020-04-16,340860.0,bcb,RESERVAS_INTERNACIONAIS,Reservas Internacionais
2020-04-16,0.014227,bcb,DI_FUTURO,Taxa DI-Over
2020-04-16,836.75,yahoo,SOJA_US,Soja EUA (Futuros)
2020-04-16,5.236999988555908,yahoo,DOLAR,Dólar/Real
2020-04-16,3.75,bcb,SELIC,Taxa Selic
2020-04-17,5.230899810791016,yahoo,DOLAR,Dólar/Real
2020-04-17,322.25,yahoo,MILHO_US,Milho EUA (Futuros)
